start	end	text
0	25920	okay so we're going to jump right into it this is a sdr sales rep workflow that that i've created
25920	31360	helps myself out i actually built it quite some time ago it's one of the first ones that i built for
32400	39440	sales specifically marketing sales works together and this is something that i knew that a lot of
39440	48720	sales people would need so jumping in here um it looks a little bit complicated but if you are in
48720	56400	the class you will actually have this in the resources as an sdr workflow so there are multiple
56400	62480	phases to it the first phase is lead capture and pre-meeting intelligence um i'm just going to kind
62480	67440	of lightly go through these and then i'm just going to show it in action and then we'll go from there
68080	73440	but i just wanted to walk you through what an end-to-end system looks like for something very
73440	80640	specific and since i used uh sales as kind of a storytelling in the previous module um i wanted
80640	86080	to keep it kind of all sales related so it just connects all the dots here so the this first one
86080	92640	this is actually this is uh so well actually let me take a step back so this is n8n this is what um
93920	94480	all of
96880	103040	the hype is about here um if you haven't been familiarized with n8n um i'm sure you can just
103040	107360	do a quick google search or jump on youtube and learn about it and i'm going to teach you throughout
107360	116800	this this course but n8n is the back-end orchestrator of carrying out all of this these tasks so um these
116800	124320	are what are called nodes and when you open up each node it will have uh information so it's always going
124320	129840	to be the same layout on this left side you're going to have input uh the middle is going to be
129840	134960	whatever it is that you are telling us to do or the agent or the processes and then there is going
134960	143680	to be an output so to um just break this down as simply as possible i actually prepared a um
143680	151520	discovery call that is going to be going through my calendly and this trigger here which is the first
151520	156480	node that's going to capture that information and put that on over through the sequence is going to be
156480	165040	um push through to my back end um so we are just going to pull something that i've prepared here
166160	176960	off camera so name neil patel if you guys haven't checked him out please go follow him that dude is
176960	182000	kind of one of the resources when it comes to organic seo
185440	191600	and i'm just going to put this information here this is what i have on my discovery um lead capture
191600	199200	form this gives me scope uh before i even go into the meeting this doesn't always uh work as plain
199200	204000	sometimes people will be like oh i tried to do it but there was too much and a lot of information but i
204000	209520	asked three basic questions here so um obviously the information is just so that i can actually book
209520	214560	it is the name the email and the website url but this is going to look different for each one of you
214560	218320	guys and then you're going to program the back end to accept whatever it is that you're putting in here
218960	223600	so this first one is what is your biggest friction point and what are you trying to solve with workflows
225040	229040	this is just fictitious data i'm just i'm just making this up just so that we can actually go
229040	233520	through this walkthrough honestly the biggest friction point i'm trying to solve in ai workflows
233520	239280	is constant context switching and manual follow-up my team wastes so much time copying information from
239280	246800	one system to another yada yada yada um the next question is uh what are they looking to achieve
246800	253040	with this automation um because this is going to give you uh basically kind of the scope of work and
253040	260320	what they want from the outcome of this this a lot of the times is overlooked especially with
260320	265360	discovery calls there you people are just trying to get these people on a phone call like i like to
265360	272720	do a lot of heavy heavy qualifying before ever even getting on a on a phone call i'm some people and i've
272720	276880	been marketing a long time the longer the form usually the less submissions you actually get
276880	283040	and some people want to open that up it's just like name name phone email that's it and they want
283040	287920	that lead to go through so they can get in contact with them as soon as possible i like to weed out all
287920	295280	the bs uh so again your answers and your questions might be uh your mileage may vary but these are the
295280	300320	three that i like to ask the most i want the website url so i can actually research them like you can
300320	305120	research them off of email and name too but sometimes that's not always the most efficient nor does it
305120	309360	pull back results but the second question what do you want to achieve with your automation success or
309360	314080	what does what a success look like for your business for us automation success would mean
314080	319760	cutting our lead response time from hours down to just a few minutes if we have every inquiry got an
319760	324880	immediate personalized follow-up and the details were automatically logged into our crm without anyone
324880	330480	touching it that alone would make it feel like a huge win so we you kind of have the first preliminary
330480	336960	step of over delivering so you know what they want before you even get on the phone call and this last
336960	343440	question is um when would they like have like to have the automation up and running anyways long
343440	348080	explanation just to show you what my discovery call and my lead capture actually looks like so
348080	356720	i'm going to schedule the event this is going to push information over to n8n here
360480	366960	so
366960	370960	so
370960	374960	so
374960	378960	so
378960	382960	so
