start	end	text
0	18660	Whether you own a small business or you're an entrepreneur with a side hustle and you're
18660	24320	serious about scaling, your first hire shouldn't be a junior assistant or even a VA. It should
24320	41180	be AI. Whether you're a small business owner or an entrepreneur with a side hustle, if you're
41180	46840	serious about scaling, your first hire shouldn't be a junior assistant or a VA. It should be
46840	70080	a high. Rusty, sit down. I want you to start thinking about your first hire as AI. The
70080	75400	reason being, it never sleeps. Works 24-7 and it makes minimal to zero mistakes.
86940	92940	I want you to start thinking about AI as your first hire. The reason being, it's not just a shiny new
92940	99000	tool. Everybody is actually folding it into their business. It works 24-7 and it makes almost zero
99000	106000	mistakes. Rusty?
106000	124000	I'm going to tie him to a tree. Do we know where his long leash is?
