start	end	text
0	2100	or Microsoft if you have it.
3540	4700	Create a blank doc.
5620	9620	You want to, after you go back and forth
9620	12380	with some iterations in ChatGPT,
12380	13780	you're gonna ask some questions.
13780	15060	It's gonna ask you some questions.
15060	17200	You're gonna give some clarity points.
17200	19780	It's gonna break down all of this stuff for you.
19780	21100	And then you're just gonna go back in here
21100	23880	and copy and paste this until you have what you feel
23880	28880	is the first start of your brand vibe.
32160	33620	This brand vibe document,
33620	38440	I always download this as a .md.
38440	39440	So we'll do that.
41040	42940	And then this is my brand vibe here.
42940	45020	I will go back to ChatGPT.
45880	49780	And then when we go back to our project here,
49780	52260	I always just click this little link
52260	53900	so that you don't have to refresh or whatever,
53900	55900	but you just click this little add files
55900	58600	and then you add your very first file.
58600	60960	So in my case, it is going to be downloads
60960	64540	and it is going to be this brand vibe.md.
67580	68840	So it's gonna add the file
68840	73440	and now you have your brand vibe.md that is in there.
73440	76720	That is going to give you a very, very good start.
76720	78840	I know people that they really only do
78840	81040	this brand vibe document, that's all they've done,
81040	82680	and they don't do the next couple of things
82680	83520	that we're gonna get into,
83520	85880	which are the brand mood board
85880	87680	and the visual brand guidelines
87680	91300	and the visual style extractors, different things like that.
91300	95000	But this, I would say, is kind of the pillar document
95000	97080	of all of it on top of the instructions
97080	99640	that you gave to ChatGPT.
100580	103080	So just click this little X here
103080	104740	and then you will see this one file.
104740	107600	You wanna confirm it, that it is uploaded.
107600	110200	If you ever want to reiterate, you just go back in here,
110200	111980	click the trash icon,
111980	114400	and then you re-upload any changes that you make.
114400	118340	You don't want to have multiple of these same exact documents
118340	121320	or split up into other documents.
121320	124820	We'll get into why that is in just a little bit.
124820	128240	But overall, that is how you create your first document.
129120	131360	And then the very next thing we are going to do
131360	135520	is to jump over and create a mood board.
135520	137340	So I will see you on the other side of that.
137340	138520	I'm gonna prepare a couple of things
138520	141460	just so that you're not watching me type out everything.
141460	142760	We'll see you on the other side.
142760	162640	Okay, people, back at it again.
162900	164720	So the next thing that we're gonna do
164720	167520	after you have created your first project
167520	169420	and you uploaded your instructions
169420	173060	and you've created your brand vibe with the builder,
173060	174560	we're gonna go to your mood board.
175220	178300	Your mood board, to which I have some examples here of mine,
178900	181300	which are a little bit older and a little bit more generic,
181520	184120	but this just gives you kind of a visual idea
184120	184840	of what this is.
185220	187420	You're going to click on that link
187420	188840	that's going to take you to the mood board
188840	190720	because you're not gonna have it saved like I am,
190760	192000	but since I have it saved already,
192480	194040	I'm gonna go into this mood board.
194040	196640	You can choose one of these four
196640	199500	that I have already pre-created
199500	201620	so that you don't have to really put too much thought
201620	204440	into what questions you need to ask ChatGPT.
204760	206140	It'll ask you all of the questions
206140	209820	and then you'll be able to spit out the mood board
209820	211800	and then you're gonna have something to start
211800	216400	with creating product mock-ups or other visuals,
216620	219180	your font types, your colors, your basic brand colors,
219300	222240	your brand look and feel, at least the start of it.
222240	225400	So click this one right here that says,
225680	227740	help me create a mood board for my brand.
228200	229060	Once you click this,
229920	234200	this is going to give you some instructions here.
234580	237140	So here are a few questions to get us started.
237520	239840	The feeling, the audience life, lifestyle,
240260	242560	the brand voice, the contrast, the color palette,
243000	244040	different things like that.
244360	247580	So this is where you want to answer all of these questions.
247960	250780	And since I've already done this, obviously before,
250780	253300	once you do that, all of it,
253460	255800	and you import here,
256000	259340	or sorry, you put your information here into the chat,
259420	260420	it's going to spit it out.
260640	264080	So let me go ahead and pull this.
264080	284000	So we'll just go through and just put some very,
284080	285260	very quick information in here,
285340	286920	because this is going to be quick and dirty.
287280	289220	This is not going to come out exactly the way you want it,
289220	290820	and you're going to have to do this a couple more times
290820	295420	to iterate so that you can really nail in what it is that you want.
296160	298040	So number one, feelings first.
299040	300860	So when they interact with my brand,
301040	301700	I want people,
302040	309500	I want people to feel like they are inspired
309500	318460	and have gotten some sort of value from my information.
320120	320940	Audience lifestyle.
321080	322380	So who is your ideal audience?
322460	323480	We're just going to choose one.
323640	327820	I'm going to say creatives,
327820	335600	like photographers that are trying to scale their business.
338360	339300	Brand voice.
339440	342880	This is where you can actually go to your brand voice
342880	345880	and your document to extract that.
346540	348500	I've already got that here.
348700	350140	We'll actually pull this.
350140	358440	And because we already have it created,
359020	360680	I'm just going to copy
360680	366100	and paste for that answer.
369920	372880	Do you see your brand as more bold, minimal, or vibrant?
372880	373060	All right.
373540	379000	I really like vibrant colors, retro feel.
381520	384020	I'm an 80s kid,
384320	388620	so I love Tron type coloration.
391500	392500	And the color palette,
392600	393540	you can actually give all of that,
393600	395140	but I'm not going to go through every single one of these,
395200	395960	but you can give textures,
396460	397940	you can give fonts,
397940	398580	you can give,
398980	402900	if you know hex codes or other color codes,
403220	404500	HSL, RGB codes,
404520	405560	you can put those in here.
405800	408040	If you know your font styles and your font types,
408080	409040	you can actually put that in there.
409340	410820	And then you just tell her to create it.
410920	414340	And this is going to create your first mood board
414340	416980	once you actually do go through
416980	418180	all of this information and whatnot.
418440	420960	So I'm not going to go through every single one of it
420960	422740	because it's going to still continue to iterate
422740	424360	and ask you even more questions.
424600	425400	So I'm going to pause the video,
425480	426120	I'm going to come back,
426120	428740	and I'll show you what it came up with for mine.
456120	458740	So I'm going to pause the video,
458740	460740	and I'll show you what it came up with for mine.
460740	461740	So I'm going to pause the video,
461740	462740	and I'll show you what it came up with for mine.
462740	463740	So I'm going to pause the video,
463740	464740	and I'll show you what it came up with for mine.
464740	465740	So I'm going to pause the video,
465740	466740	and I'll show you what it came up with for mine.
466740	467740	So I'm going to pause the video,
467740	468740	and I'll show you what it came up with for mine.
468740	469740	So I'm going to pause the video.
469740	470740	So I'm going to pause the video.
470740	471740	So I'm going to pause the video.
471740	472740	So I'm going to pause the video.
472740	473740	So I'm going to pause the video.
473740	474740	So I'm going to pause the video.
474740	476740	So I'm going to pause the video.
476740	478740	So I'm going to pause the video.
478740	508720	So I'm going to pause the video.
508740	510740	So I'm going to pause the video.
510740	512740	So I'm going to pause the video.
512740	513740	So I'm going to pause the video.
513740	515740	So I'm going to pause the video.
515740	517740	So I'm going to pause the video.
517740	519740	So I'm going to pause the video.
519740	521740	So I'm going to pause the video.
521740	523740	So I'm going to pause the video.
523740	525740	So I'm going to pause the video.
525740	527740	So I'm going to pause the video.
527740	529740	So I'm going to pause the video.
529740	531740	So I'm going to pause the video.
531740	533740	So I'm going to pause the video.
533740	535740	So I'm going to pause the video.
535740	537740	So I'm going to pause the video.
537740	537740	
537740	538740	So I'm going to pause the video.
538740	539740	So I'm going to pause the video.
539740	540740	So I'm going to pause the video.
540740	541740	So I'm going to pause the video.
541740	542740	So I'm going to pause the video.
542740	543740	So I'm going to pause the video.
543740	544740	So I'm going to pause the video.
544740	545740	So I'm going to pause the video.
545740	546740	So I'm going to pause the video.
546740	547740	So I'm going to pause the video.
547740	548740	So I'm going to pause the video.
548740	549740	So I'm going to pause the video.
549740	550740	So I'm going to pause the video.
550740	551740	So I'm going to pause the video.
551740	552740	So I'm going to pause the video.
552740	553740	So I'm going to pause the video.
553740	554740	So I'm going to pause the video.
554740	555740	So I'm going to pause the video.
555740	556740	So I'm going to pause the video.
556740	557740	So I'm going to pause the video.
557740	558740	So I'm going to pause the video.
558740	559740	So I'm going to pause the video.
559740	560740	So I'm going to pause the video.
560740	561740	So I'm going to pause the video.
561740	562740	So I'm going to pause the video.
562740	563740	So I'm going to pause the video.
563740	564740	So I'm going to pause the video.
564740	565740	So I'm going to pause the video.
565740	566740	So I'm going to pause the video.
566740	567740	So I'm going to pause the video.
567740	568740	So I'm going to pause the video.
568740	569740	So I'm going to pause the video.
569740	570740	So I'm going to pause the video.
570740	571740	So I'm going to pause the video.
571740	572740	So I'm going to pause the video.
572740	573740	So I'm going to pause the video.
573740	574740	So I'm going to pause the video.
574740	575740	So I'm going to pause the video.
575740	576740	So I'm going to pause the video.
576740	577740	So I'm going to pause the video.
577740	578740	So I'm going to pause the video.
578740	595740	So this is obviously it's very close to what I have.
595740	596740	I don't like the fonts.
596740	598740	I didn't tell it to choose the exact font.
598740	601740	The color codes are off just a little bit.
601740	603740	And it's a bit generic.
603740	608740	Even the same with the other examples that I have actually put in the school community.
608740	610740	But this will give you your first start.
610740	616740	So you can actually just click it and right click and then download.
